Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "DeskLight.brd" as of: 27/05/2020 11:07
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
+12V,Bottom,1.038,2.150,0
BLUE,Bottom,1.250,2.150,0
BOOT,Top,1.250,0.150,90
C1,Top,0.250,0.800,0
C2,Top,0.150,1.150,270
C3,Top,0.375,1.150,270
C4,Top,0.225,1.150,270
C5,Top,0.550,0.637,0
C6,Top,0.300,1.150,270
GND,Top,0.400,0.150,0
GREEN,Bottom,1.575,2.150,0
IC1,Top,0.300,0.550,90
IO2,Top,0.750,1.150,180
J1,Top,1.262,2.138,180
LED1,Top,0.525,0.100,180
R1,Top,0.912,1.087,90
R2,Top,1.188,1.087,90
R3,Top,1.462,1.087,90
R4,Top,1.200,0.738,0
R5,Top,1.375,0.950,180
R6,Top,1.500,0.100,270
R7,Top,1.400,0.100,270
R8,Top,1.512,0.850,270
R9,Top,1.063,0.850,270
R10,Top,0.675,1.150,90
R11,Top,0.525,0.237,90
RED,Bottom,1.363,2.150,0
RESET,Top,0.650,0.150,90
RX,Top,1.500,0.212,0
T1,Top,1.200,0.850,270
T2,Top,1.375,0.850,90
T3,Top,1.550,1.375,0
T4,Top,1.275,1.375,0
T5,Top,1.000,1.375,0
TX,Top,1.400,0.212,0
U1,Top,0.450,1.781,0
U2,Top,1.350,0.525,0
USB,Top,0.950,0.100,90
VIN,Top,0.200,0.150,0
